id,meterologist,degen
1585,terra18ud8c2tae34n6dws50mzf0ffc7vzvatek874zv,21
1586,terra18unmcxtftdkuqzqflzce9nmvyr07wfah43ps2m,21
1587,terra18ushny4zvd8789auq79lz32ssxd26vp0f8086d,7
1588,terra18v0dxe88watr4ef9cvnghya4usnns0zdux5uf0,3
1589,terra18v3g06ahv4aht07anajf064d844xawyk03mmld,23
1590,terra18vad8r6eh0yz7tke6qrwn4694a45ykl7vkhqmj,10
1591,terra18vcce5vky0vpwkeq8zq2jj0krccdnpmfzk84lt,16
1592,terra18vm9ml3h8c4s7f6cq5mfj0re7axnf7apsanav2,30
1593,terra18vmdyepkw9367n0ehj0f5q9a3ztzpdxd635g96,7
1594,terra18vmrm9chtyqwfhplfz5j7gfuzcalwk42fqew34,24
1595,terra18vuupukajnj2j587hqe88j7h3e440ka4fs86kf,22
1596,terra18vyh6mq58zdrgpdg7hay8m4yetqmy5yuxnhz8m,30
1597,terra18w5yd97zezn2ty7yy2xsw6d57d3e23hq3r0262,6
1598,terra18w6h80mr9440wmrx5x3la9536zrpdwmhff7270,14
1599,terra18wffdfys8jg04psdutgeurc9dd4rm3ey37wd32,2
1600,terra18wnq6lr7t6l0pspdfrprv3v9cq4kw6neen6keh,10
1601,terra18wqc0n60slndkjnrv6zq2t3y377ggac8ncykmv,19
1602,terra18wxccm3g5f808x790phchagru92p9vpwv3pzsx,2
1603,terra18wy0p0vlawqqjuxrkwvr64fnsye4vgll356mtl,4
1604,terra18x65krpw3h75xc03r2w4nuz2eu72qzgzdta2g2,22
1605,terra18xpfgtrd70609lawhrfhxlyfywj657s9u26cc2,20
1606,terra18xtdykawgatk2wyf2k87qg5mmdadg2dclzzela,4
1607,terra18y22fy373clk38dsf32crsythupsftp84gsxdx,19
1608,terra18ye4jnj3x3wnserw3lpe4t7x7uzr8wmlhx3ace,30
1609,terra18yk6tf66vrm3hjh4z9melhpvrty9wlsvt0e5rw,8
1610,terra18ypvdn4jyj4jlrl8ssv3pjzeyvx87l0fl4z04z,25
1611,terra18z38pl52z7lrtqcv2tj08uhapc6qnladc32g65,11
1612,terra18z39rgrk56pul82jjy04tpn5mua0cspypdxu2a,29
1613,terra18z3mvq6cduks2v9n0e5gxhtlfjwh4ef2jrs9ap,21
1614,terra18z5lfqxm4n7hac4k6xc0fqnv6fzudrv0nmzytn,13
1615,terra18z873x6qzlqfccatpvkp6jf5khav8h2s7cuh2y,17
1616,terra18zgzlnz20cecsgsddv6pr870qk2aarefnpq7gp,8
1617,terra18zyprmnlzpacvl3g0z9wvuqywn4c5fsymvynlj,24
1618,terra18zzpkgpx9lrv0nye5v6sjrfpl6ssmg4q5wdf8p,2
1619,terra190ctel06pkgy4k96t5m5rays5wv8y7ylka6lxj,21
1620,terra190fvt86ylr807q5jdlx7vqg5mvgmukvkwkyfc7,28
1621,terra190gm30u2pttnyxtasglkztt3cdrupk09asnas7,22
1622,terra190rfeqpppcg98jlcqrt7tdflnpz8klj8x3akq6,30
1623,terra190saptvj0tkq53v343mtmm4m4cw9p8ykgtn3w4,12
1624,terra190wnzv2gswsete422xq8jzz6dz3py9e9vjkrmt,25
1625,terra190xkgr070sjz04asahkrx6655w4tjnn2qfydgk,30
1626,terra190zkl0wuvf5fcmx9mwt9va4nydm7a3f5x7he4q,10
1627,terra1920gus72csnkfnwp68rfema0x300uaznaczgwg,30
1628,terra192l7w3yvmhy0euztdkemmcs3qpcwr4ajrxnt3e,5
1629,terra192xzxk0775qxu9w4y8tqladgx3grxjnep9kae4,30
1630,terra192z9pykwjuyujr9nmrzdjd67le2fh7yvmwx2za,3
1631,terra19333a92p0u4agfz95tg79ara0h9qz84unfhfm7,24
1632,terra19399hesex0e9hgfmu0y865gcwl4y85wnzlrhza,25
1633,terra193ah0etd747nz3qhc5zzd6zd8da9tyj37zdtqt,7
1634,terra193hv809rmtvx6tcr4awvx798xrdx5yzf0p6sym,27
1635,terra193k0cvye6c2p7wlr5zn0k846zz8c8da6leh2vd,7
1636,terra193n5vd5chphk4q607wr0lmqehhkazfc662hrg4,8
1637,terra193rq0hurhpnvtaz9dd0a0vkjty8uqcdudpgtnx,4
1638,terra193uetzs4xfurt2a2mua0hgexldschuyn4nus7p,13
1639,terra194fkgwded3ts2ygkhhasq4spqpdj828rj2qmh8,24
1640,terra194hhckg4ysjf66xqe7fs6lyh0cljt0ve9c7a9g,5
1641,terra194vwkwcp4pkltad77jrqf3t4882647ldvy80mc,6
1642,terra194z0p7xwlz5js7ye90e6fvwa0dufn0scu7c0hy,14
1643,terra1950tev8ayu2zzu3zz3v73rmua388hsnek6d5sr,15
1644,terra1952t7y49ekflxrfvjs93kca2khzqhqmcgufafa,9
1645,terra1957ku9c878pyfcxxv4qmxugznsndk73ffarc7y,28
1646,terra19587nzq2mdl58pggkrs8lyuwe3vu65rwypuv2d,10
1647,terra195ghrrydcvpctjsfcpn4erc4pynt60wnhkvt6w,13
1648,terra195hw9ak0jnfa7wt2zehuyspjwwx04kjg6s27ku,21
1649,terra195q0ayafhwxc3yythfn0emwkgee4smweh533hr,1
1650,terra1968gctylekxsfryrey5jczfxkn2pkrkx843waf,2
1651,terra196cpznxlhv3hl225wn5aahqe8h2wys8drdlmdh,19
1652,terra196djkp92vqk7pg0z009xs5q8uk5ezgj6qs327p,27
1653,terra196dvlyck9runzsm3mvkyxcyg2sqxzcgj60999h,8
1654,terra196vkwu0nvvxg5v40xss33h35xltfm6vxyprs62,8
1655,terra196wspz838mf4mszl0dal6ddpaw38uq5wu7jahp,9
1656,terra197365l0gcp6wutqa9ngt02fuy5zah2n6nr8459,5
1657,terra19738nlkdchpz2ysx8zzk5a6xpgxcr8e4nsq07v,13
1658,terra1977j75fd478ftll92zyk38skc69p37c3mapyru,24
1659,terra197q58ljsh5p3j0j44ctkuy2q63p9cz22tqdqj3,18
1660,terra197sz860tgk6gvyese80j04rrntj0rm6vc8yqaq,8
1661,terra197ye6uwg3pkzvunuel6x3cm292cv03wex7v6l8,24
1662,terra1986pxg4k570xtc68n07567mfkvjh42zsvmejyr,19
1663,terra1987x0scne3n87fjqtjnq2u7cv0c7cdgwwk72gl,22
1664,terra198c6wddmszhwvdxghteag239ld0qhns70fxgpe,12
1665,terra198hkqdz90thdg4wdgwvch9hr7tvcuum5rn30jr,18
1666,terra198hlynueqagjk3pep996ya5lth9cywvtq4hpr4,10
1667,terra198qlpgupmd4vtd8emppvs3egfmpcq3fxxnezfm,5
1668,terra198r24ys5enp3myh8et7kw3m75m28v2yrqqrd46,2
1669,terra198s2kd3durxq43cwa3plhzp4m7sjn9qffxvp6g,18
1670,terra199gl06xw7jj6fcyaqewfrq2z52z09zhwfvh2dq,2
1671,terra199gr7ymk9mvlysmyf7r8hf7ejg9jqjd744l6kw,7
1672,terra199j4jchsfs4hcwz3fu3x730cjwfw937hxydqa5,14
1673,terra199jkuyrvuaf7qtrtvnz2aty9068qrmx4kxyeml,19
1674,terra199pwxes0m99ja825tjkjahdux29rjeqkn3g36y,28
1675,terra199qm85svpmx82cxedw7fy6lct0fgklmee24dna,16
1676,terra199wa799a609gpu735al6c9dzae00art4sfh7ea,2
1677,terra19a2w9g4gwtffy7cm9ql60nj7nhzq7jcjccvhec,3
1678,terra19a7cavsjr69ehm8nd3ggj2fmavn58w3sypq5aq,14
1679,terra19a8q9yrzhm2k66mrqwxv94x4v4kace7nhzpe3r,2
1680,terra19am6mtnr26ee3rxqrt95rpxay9zmz6zh9hkfxj,17
1681,terra19anwjwj4pw6fepf4y2jcyvchag3fh0qahsmgew,2
1682,terra19aymr0qj9xxdjtwjfpersyhmd00hl90ap443xc,30
1683,terra19az9an44tdcpfvnl9umrje6ckwu06zh0k4ujsy,2
1684,terra19c34vyr4eus8dz0zvnlxf55y0qkkdpex4tchaq,2
1685,terra19c3m0t5lxcs8wnkdujxxj3zqqkjqyyrjmmvh47,24
1686,terra19cals6z6algwqj4e7tzm5kdejvpqcp70kcztgw,18
1687,terra19chym2cawfqv39spwlpla94smnmeqsk5x83t4l,7
1688,terra19cmgdlh2drcn3c3tvschvl6fqqxyqx20xhwr4h,24
1689,terra19cpmz329dr5cfk3lf6eulyzd2ualsp2ny3d7q2,2
1690,terra19cq4m4me027sq54z7fvq0x0fhl4pzpr33jk5n6,14
1691,terra19crgv4rt077mhrz3t8y83ydgd4psjp478phecl,20
1692,terra19csmn3nu42fyvtftz4nfcj3qgrhuy82p7jsdym,21
1693,terra19ctx5evytphdw0hcyur99xzy9gkh5803l0p8ew,10
1694,terra19cvdktxzz2tq2m0gynlfwk78t4u7z6h678sndp,1
1695,terra19cwlxlyd0hjdq5e2g08hua4pexnuxrggzwqejt,16
1696,terra19d0tcd46z555ktmnarwjgdsehxt3ryzsrywkvu,2
1697,terra19d4yppa9sw0tfmkuspmrhexzqvc964upptklk6,9
1698,terra19d60cl46t30sngfuq7sgwxaey9lhs95kqn8dg0,27
1699,terra19d66rjg7xmwt9sdy8wukh9p84qj66sgd5psc4z,28
1700,terra19d6juhahuxfrzj3jldh6srgyc8judu823ttgek,19
1701,terra19d97k8vt9selj5pkyx04csxsrhkfxvxgtc2ccx,22
1702,terra19dfapsc974pju02v40cs96rr8uffxwmzkpetzk,29
1703,terra19dg8jumr3g9ztslwe25a4x9j9las87ktgvgfz6,11
1704,terra19dn969vnfe282zs3xpu3rslkza000swynj0h39,7
1705,terra19du47gkwhzxpc069zrgjvv00srrc56tn47jj67,18
1706,terra19dzngz6rxgz574sj3sf30y2dcku2q2k3hz544m,23
1707,terra19ee3p09swmk03dcmrd05lldx5e53smvt8jrcry,24
1708,terra19efmgz70t8jrak0rvpl6stxwhy9l7kzxkg8anr,13
1709,terra19erxpg9zvsmptqalsmvwrsmuquk55luzynsl7r,27
1710,terra19evrqmqqtv5472rxg3dqpfs4n4ekq93hmweapr,22
1711,terra19fjnl0r20n4tdj3qszs9z9ua5wy6h9gxuz2lm3,16
1712,terra19fnh8nl2vuvp7cmufsteaa5hc92q68rcpf4t8m,4
1713,terra19g4wg68p052vyezqxsjuyxfhf8maz3jhamh0as,30
1714,terra19g5evk07m2p9uzrgjcedq8myxry5ehvs55qn5m,22
1715,terra19g6awxe2ulpknv7f2pq3zpcs9lmkywd0afpw6f,1
1716,terra19gnk72phatdj4g2tkk8rl4dpkmsm6mktxxu8ze,19
1717,terra19gsp9hhlu7cc2s43clr9lukqqsrnuf8syy4kgn,6
1718,terra19gy6f7ld4frcklqe6gxp8adj8q4l7e6lylnpkz,13
1719,terra19h33tj7y0m8q8zw27rhchzepn43jvehecf0yef,1
1720,terra19hhf85p3yhy409jng4469t077erw7fcs2jw6c6,13
1721,terra19hq054zaezpexevntxr96n5yppsskqnqpyvcm2,10
1722,terra19htjruspzqw605v7w5cyk5m4vv3av9annqcc4g,14
1723,terra19hwnwctk38tdtcdkqauyjttadflm6t3l23lhzu,24
1724,terra19j33lxsfkc6dce235nf8gyeacm0y0ymh9tjcfe,30
1725,terra19j7yveuzgp55uyjgpwl2ytr6scmg49zxnt5t2v,25
1726,terra19j9lmgmwjmspa78wnthvhlcrmzpqaht3536q97,5
1727,terra19jfc4vjp5dn76tlvr8ajszpqgymy5f0507y2nl,26
1728,terra19jfv3dx34a64xn5clg2tdfer629nvtz53pkr9p,23
1729,terra19jglcs8tmu9689fmj9pyqqr0rugldkl95g8q8w,21
1730,terra19jphslxmu98g6jh8engdsc9khdn2kc6up0tg4f,23
1731,terra19jufp5qv3zlggnzq5stf9hmff7z0mxzgj7ged0,5
1732,terra19jymyu0kt49ssvr2udpu52wecpfgfrg9vu42ca,2
1733,terra19k25t5qdpz9xuh0mvpy7r2rxp76qehc6hkmyd5,2
1734,terra19k59kz07jzeft7ex54j7qarhav6q4ta53x2v3z,16
1735,terra19k85gsahz45qr86gn5t0ym7zac8nlm6v8k5ps8,30
1736,terra19kczh3hyue96rku3uhhw697a9lr58aselsx7kd,2
1737,terra19kml5kl8u0u7gksf4ld77zx5arrq0gels9456t,16
1738,terra19kvhwwxj6dehfc8hs6qtve3dsu8nvp6mmmc6ca,27
1739,terra19ky4wfvvu8f3azcruhrwhdrrjkcgcchxt3jlkx,5
1740,terra19l4n2nn563zdg2rhqy0yjg3fm6hw22ntnzzmnk,26
1741,terra19lmsxa3w306nh0wwqp30qhs3cwn3tn7rhngfrs,10
1742,terra19lr7kjyue7ka0uuaeft968cmpy2p9hy8gw70qv,21
1743,terra19lvqmyxgexhc9vg0msp3820jfh447zvlcvl26t,29
1744,terra19lwnd0lmwu9k30nr35ncuxwzmeqwlkp5t7jufg,21
1745,terra19lwy4j3mjgt9a88lk0xhz6kxv74azq750z49qd,12
1746,terra19lyfyvl9c52j4ejx4capysdplprr60k59a8qgj,21
1747,terra19m235rlhajezwn5flpq8vepukyqzchajfzydcd,2
1748,terra19m9avy6mxtes9z7sse8k8unmm643nrmr7y0jv3,2
1749,terra19ml7jmx8t73pjwwnhmlgpz0h7rhxvaqksjx23s,29
1750,terra19mm89u0y4teu999vakuty88negmhgf66zznr67,2
1751,terra19mu2wuyavmzegks0qqw5u8z2ndyqf0gk72gzvs,30
1752,terra19n7s6apv2fu6swjklm434uadsl63almgkgfvgx,29
1753,terra19nk2gkmu9jv0j97yyhjvv3g85temyvehckjcw4,24
1754,terra19nmlln89kq8np2uck2d3ft3snnp0p0xm88rdkw,9
1755,terra19nvupnwnngxfyhhagqurlj32cn57yq7yjqrql4,22
1756,terra19nz8almdvn4rk9s8z23xq5c3vy7dp3pxww29nr,29
1757,terra19p2enw97yh4fpsdx5keac47m9d399cykqa9553,28
1758,terra19p3g0eq8sdamyl990wcw8wpddyxs6ymurdh406,14
1759,terra19p4awqjqe3k4za0vqpe0csv6h0272pn7lmznhx,3
1760,terra19p9q8qpnnxg554n9g3z5d06a7ydhzs9eed9r86,4
1761,terra19pd4lczhys3k4373auwszm36szfkm0swaa3sek,21
1762,terra19pkqe9k44srfu2j76y8ct76ffzue2v0w0fd4y2,13
1763,terra19pxvtg3097vq7qa669x2wqreyh6kqmg6ztwpm8,13
1764,terra19qdx00gtw8kaatp9paz7rm8cas5vw2u7tsuy2p,12
1765,terra19qj0wrqhrlyk72k4u4hx6y8vfy8nz0px3apctg,22
1766,terra19qkhlpn9gxaenxmnvk4t03psa6kcj03m70avc9,1
1767,terra19qncup8tl2llwdla0zc3azcm5449vygsq2law3,2
1768,terra19qu6pgx053gqys8k9zrl2hmwn4dk25ze69k3k3,17
1769,terra19qwdur5dw39agmt4jarxrnezu28e590wtlgnqw,2
1770,terra19r696ah3p7qw4n203lmlx3rv4uzajy3h6xsw57,10
1771,terra19rdwmulgel0j6ps0lk74v6pva9f68lwpemjjle,30
1772,terra19rnzezl43aepqhtynct75rp692v4u7ydvuvtcd,7
1773,terra19rqv7c4zv39q7wqd57j2m8peqcca46ettglmms,2
1774,terra19rs38yugme5u5tpcz2jl62n86pz3ftkydy32lr,5
1775,terra19s52vk2qxfhvmn53hlc0n72huxn6ujvunnxy8n,5
1776,terra19s5n4nttf4nrf2rhtnqj786p5pyhjk3asykrg6,19
1777,terra19s69et67r0savvwmgwqlg0c6c2y4pc87r8d8sm,3
1778,terra19say4flannnstapn29kkd4dru8g3aftm2c9usf,26
1779,terra19sd7cuu552tpyu4chsg6nvxgr0g9h6aftr9a6a,24
1780,terra19sgqc8nn7g48ltkeqllhnpjv44sll35lx76tqt,14
1781,terra19t5kmq3stpn8kctn7r8r262hpn02tre3u6x44k,27
1782,terra19ta0aazfntxkpd3kn6ptlgx5hq37mv36wewq3f,21
1783,terra19tada2qnteac6hqnc75yrr2s5e73feyfddcsgf,26
1784,terra19tfrceetmanc7x0q7weg9jp7kxlq52vk3fx2h3,24
1785,terra19tl88gaqvx3jyjlxzml4cyq4cv4w44k7p62zpy,25
1786,terra19tyqycxc6afpldznyl9zf9mz03uhyr4vf08drr,2
1787,terra19uesmva254xqzk5k7shuvzjks6qh9y2jz2tnc0,4
1788,terra19uv7vkucfyttnkju5uxvt3z42l2j6yksxm6w3k,22
1789,terra19v7vqkqchh9uwhyvy7juezexjhtukyewr4yn8l,2
1790,terra19v9tgfhstlve50qymzyauygdtjawn59xsxml06,24
1791,terra19vmgfrn36yr44afxgpjrt58sz8s7x9sc4tgeyk,27
1792,terra19vnr3zsz8d4s097q6cqealcnnkzm8cpyy2kgeu,24
1793,terra19vr49zklx59mgj5ax7numwmn3vaykdzfxqkqga,22
1794,terra19vumj037q9n7y386ukelnkw2m7qg5fqy5xlt94,27
1795,terra19vwxtuq80wkhw95js4nfdfygf55vhgqz6p2rv8,21
1796,terra19vzzay7ql0qxfss5vurpzz2turpjntss8r88us,3
1797,terra19w0xy0992jvyfpazu3wamz0xjug67v2uk7wtn7,7
1798,terra19w4t8atrq3ce7y70pua6648xh23kf0cj3qsvly,4
1799,terra19w5784n88hy9732x0wm32rh70eee7vrldt8p75,27
1800,terra19w82d5ly9v5aerjtx8z8spz806zl4se268uepw,19
1801,terra19wa7kn0al9th5mau72je9f2zj3gsfmfllfaq4d,10
1802,terra19wp5aywmpe9k4h6k4ulezcxsmf3gfefxmqk9cj,22
1803,terra19wpu4xqt6k285yq2xwe0qzkvlf9skutz35za6m,13
1804,terra19wsec39gdfj3mayg7wmcq42zxqdtse8m8xf53s,28
1805,terra19x3ngdksdqk7phlu8vu0ersan6l3r8mqleyct3,12
1806,terra19x52f52q7uplvexrlq9crhf0g5gz34kdvsuf86,13
1807,terra19x9fm625wr0aalhjhmlpnqjht35fkkays40ajk,29
1808,terra19xglhafjaatq6xus972l78c2szhjy22z2zxcje,24
1809,terra19xv2x8swmk28rtfhyxa585t2zucsslgmq5vfdv,15
1810,terra19y0q4qje9807nlpypemucls2vxd2jtl8n5wpz5,30
1811,terra19y0qpm35tyku0smplx2f9s7e5kdwug0tym2ta2,22
1812,terra19y88z70r6qz050zrm8cy305mlmzdpzjg6ed8je,9
1813,terra19yj6zj56k55nznsgzn5vfyv9zg2wxgwlpsxdw2,27
1814,terra19ys00lrqwpm72ft4xu5dhr3328tg3eu72k6e4e,28
1815,terra19ytqkpz2cjxnr3ej5672df60hhew0y8a9lxdjz,27
1816,terra19yzj9fvwwr0qeruzv6jhvd9eszrfczl9lh0gr5,11
1817,terra19z93t2ymzrdjeuzg6k4s03mggj2e3wtncp2yvt,24
1818,terra19zc9zgn3yzqqn6s7wefkym8hc4y7ve5nztxhag,24
1819,terra19zj7hn9dwjrt4vh393vsf4dk74amywj942mju0,10
1820,terra19zmfdwrjvtmk4f73vy9tlf3q63r2q5nm4klpcu,7
1821,terra19znf6u5zgyvsyf3rhfzv076j4jcwedyjmpurhk,23
1822,terra19zsd5dh0pem8zx2x9dz5s2rafdgrwps2fwp9xl,2
1823,terra1a05rm73m8xuyut74kzknk922psydtk2ymekggc,10
1824,terra1a0cjukl4y3nj5d3ftjrdh0javzgjthwll4wwxf,24
1825,terra1a0ezcjtlwfpfk53z99zz99va3ld0ss8agjx8es,27
1826,terra1a0m6yu6p4rsxx6l0yjz3ldpj6a2at36u69yg8l,29
1827,terra1a0mwd6zdgexvyta2vsmnjfvx5zdz0dxe489uu7,14
1828,terra1a0nasyx8k53l0ast6vu8rtyctrjameyk8hjhhf,7
1829,terra1a0u089chxd630ru82ctwg2nh0px2dlt6snapx8,20
1830,terra1a29augxp6vtwm7jk75xr8kzyhkmw4ze8jv3drj,5
1831,terra1a2p9nj2rxltc22l8cmyzdznw24xgs80s0q52yr,1
1832,terra1a30q5xyhvhj0wkmtaq6qysm3zk2u6jyj5ml9ju,19
1833,terra1a366urshurjxltgaz00nnrk9nwmsgtuylp2e3p,5
1834,terra1a3njthnz5t7an3amrupqtrk8a3wdqt4yccgk3t,25
1835,terra1a3vpx7c2d20hwp45dtkndguumkcteltx3w3pdt,14
1836,terra1a3x8g3hr05yxg65qlx6ndynecyf87h0nc8gfhj,10
1837,terra1a3xa9fhafup2x0deu7jj5jwqxehz7lsx4sljgy,19
1838,terra1a3y0kkpsyr8qje5ttv8k3ch2q6zwc0gyx9tapx,30
1839,terra1a43afyrav5kpjn6767rh65zj03cw4ydukrm30j,16
1840,terra1a442323qs6ldqyqweeqg93stn8e4xtuee2udur,8
1841,terra1a44wt6qapv869m8q56ffrqhnqpgzzjd0e9qlqg,1
1842,terra1a4atgqaqlrgur3mcejde8j70ze9wultxn9sn5e,7
1843,terra1a4deywu68xqunasvkgvtth2g0px8v8tv7rdkck,16
1844,terra1a4g8vyz3j5s3u2u8ued8melckdhqw5rqpmggga,4
1845,terra1a4m45crrrhy83r6ug7jfzfnyyhqjgcf2jqxjat,19
1846,terra1a4na74c6xqadgadddmgzvhakv3q0v5k7c09txc,7
1847,terra1a52nyyw29sst2zmh763pzejrjhvk7q0m93pu53,20
1848,terra1a55dq7j3zzvd3809ara6nsunv60s6kml0ta4sn,24
1849,terra1a58zh6mnefv4t2pcxm3se8q6cv0mumlfalvuky,21
1850,terra1a5ljd4kcdd89sl7prjfr8tf84gqhaazh5lvu99,2
1851,terra1a5pqtxtdxhxtt9n6ee3m0jg292tjgg37406dfc,27
1852,terra1a5qy9a8lv9rt87slxht7uhn2p4v5j5f4djf75c,10
1853,terra1a5v4yagwuty3sxmk64gt7ush6q6ldhp3q47eyv,24
1854,terra1a5vu8ekd8ku7l3c2ute5c8dzhklq6p4f2m5egj,8
1855,terra1a5xxcny9m7yqngw2rdf4n52eugzpr5t5fkav6a,1
1856,terra1a629am26j9385ucyul878q60nqfcnq6yqts0wj,14
1857,terra1a6g69kvgrkt45a5he59v73p9v4uh05ex7vqlyy,27
1858,terra1a6jlxughltfuqqww7aupukma600avqc6vkrzan,2
1859,terra1a73assclss9vj7sgx0ql6pg3v698ktn4gm0wva,12
1860,terra1a772t03pzde6kr3w3szpa22nugq9f67q6ludgg,18
1861,terra1a7fcjpa8xndjvutjsykaxrmeqcfk6xnwqjh9k5,27
1862,terra1a7lducla9ygdx69xze6uxj9pmzwg9fy4uud6n9,7
1863,terra1a7rhn0xmpq7s2gy9huwj67tmpz6f5app2042de,14
1864,terra1a7srp2ejuzz7mgkljjjpa8avr8dz6l7xnmua4l,26
1865,terra1a7szeq9p4hpyx4u6jrgwc4v9ac7ahv9u7s9qxw,3
1866,terra1a7tzlf8gdrrkzjxvexu8pa0emqzmhj8ck36lpv,16
1867,terra1a7uy2dxz3kn2yxgnr4css43twz2d2hvnra9rh7,24
1868,terra1a7wz3fsul5exnaary759evja622lrp032e5clc,24
1869,terra1a8altvnl5ah009my9tuwr3dd24mlsug8ezuvjl,7
1870,terra1a8gq359yvm3h39rrpv2ggxyp5zkzzhs4zfm8r5,27
1871,terra1a8hrpj25qn94tdydjkvgqty57lm8jm4wj4pkr4,11
1872,terra1a8meyyd9fc2f7uvyr3426cze37aml0053rjfx6,27
1873,terra1a8w3suh86ru7ml4hxq8w4tg323kwkph5p0247x,14
1874,terra1a8xuhhhy2y5zykskzvq5f8djprnf5zeaerycmq,15
1875,terra1a9528q7a5yd9fgtfz0qex20pdndjtdf43qn4jr,17
1876,terra1a96whg6fj5yxalrpzyqmsj0rzc2hw5n3a5wxpk,13
1877,terra1a98vdp0nx4mzh5hrd5lyymjk4udvazjus07fwd,9
1878,terra1a9f8c5vt8zuaza5lxyvxr3dcqx307g7e3f29hl,28
1879,terra1a9hq4ptnu875k7pv0956qaz8hzxkxtqar0r0wl,14
1880,terra1a9j08kj85c65vmp33nr28pnffpd85m6efqyrda,16
1881,terra1a9k2f76gjg88p5g842rzj9mx6uh0hfaav747vp,7
1882,terra1a9kjmdrck9rmzudlrgx9tpg8n3qahn6muv05tg,14
1883,terra1a9qmd97wwznd489xfu79wx5vp6m238xnfpydeh,4
1884,terra1aaprn9deunqh4gyj0wfwaexgpw3jq3fkll7nfd,26
1885,terra1ac9hf7vws9s053yc7f9mjd2fef0a82zv2yqfvg,2
1886,terra1acft8auszkxpgt28m2qjddtg08jkrhee37tjdl,6
1887,terra1acjjx25yxrg63aggn5fvvcx24n2tsdu9772s80,11
1888,terra1acn3lgrzyqk78wge0h32mftgqfqg9xltlgyx0p,24
1889,terra1acun26p58ck4lt9gr3qjghcp4ehnsjf9fd5gyy,30
1890,terra1addlt6kl96r67qzhc7dzhkye5q7q3w989wm4dk,27
1891,terra1adfd0ugjv4fs754pe5e2jg8sc0q5jtg4hl7hju,25
1892,terra1adhz02pcarjenjp0037nqqs43aqjmnrw859x2a,9
1893,terra1adk7j5aeyh5uc4hps2j0kqp2p836vyjsjyupy2,2
1894,terra1adlt697lkaey8xce5fe4uw7z2j0cu88nrjvj5l,22
1895,terra1adnqlyrys99l0j8ay8qp6jar6aa068wgtk8ar8,22
1896,terra1adr5hgadxh8yzzkzaavn5qmcpxktthtvh04nhd,25
1897,terra1adrh4cl0cw02c6n0ual379gf3z4fars22fx87q,25
1898,terra1adt9xj463008nsgxg28jemsm0ecgk66v6evx54,30
1899,terra1adu5h56uveg92ta7xhl2u8yn2xhpth7vt44tmk,21
1900,terra1adxn2f4tcjchucz37zw7durs0k47h8fdaj543v,13
1901,terra1adxwvj8fpxje5v77w609hqqzgvnc6dk3rpy54e,27
1902,terra1aef3x0s0w995vwmdfvrex3dgha3tcqzv2uyq5p,30
1903,terra1aehve3w03vn8y2jxr3s3def4j6ta6gfy0dx927,30
1904,terra1aemresxjlyd7cdxuqglr56yg07mlqgdcnq966n,5
1905,terra1af635zqff556q0y9vnwhm8nk2h9ehvxesjgha2,15
1906,terra1af63ted77z484s23malx6s97zhjvpxxw8u3z7p,4
1907,terra1af7urdquzkxv3lvdgap9qmck43wfz0294wrxw8,7
1908,terra1afh0cwa59trmuef633fs5u64w207fqhjpwza5m,14
1909,terra1afp6ztrj5w9yqwvlh7fvvlr9c7g8ch6wp93yny,13
1910,terra1ag449xakvj78hvyzws42l7gf9tzen8fk0sv7cc,20
1911,terra1aghh2nt808ud27qsndpkwqs7dw0uz6n9l0cek2,23
1912,terra1agrdjdmehz2rj7fjexnxua4nq7s922qjn69a6g,2
1913,terra1agyvpvzuuy6zsjexh627r666wgtkr0pjeljc4k,5
1914,terra1agz2fscjxp8gtfu55jgwapqsvwrjxxn7xmavzr,27
1915,terra1ah5hkf3afprw7pyftpynq5lggcccr3tmkgpltc,29
1916,terra1ah5ukx93jw2hd5ezmnyzvj9hn5e33tft5rq90n,8
1917,terra1ahmzl05md839f5elanwfpdw5qtc63pwcadpgmu,2
1918,terra1ahpphrs6ngnzgf3mzg24r5k5haq8wxq33nexs0,24
1919,terra1ahq6fk7lvqatgc2ygheh2y8xd9xh0h4c4t37ud,2
1920,terra1ahrqlrwzl36dmxde8ssyasxppr7rg2fa36fkq8,25
1921,terra1ahxtxnquft7qpcg2avy2uywvzs5fzf83ppth85,1
1922,terra1aj4mlx686dankpaagdkza8e4qc7vtvp2370try,9
1923,terra1aje9ga9u6jxlwhjdg3glkq26yt9z5dm5785pda,1
1924,terra1ajrgymp7x2tqy27hflx83c3xhhykdhyafc38pj,2
1925,terra1ajv9txdet5yv8fzcvftqszymsrcpvaqwh40sqk,16
1926,terra1ajy7c0cyp7yxdktg4u58gppgevejudzp50frpk,24
1927,terra1ajyyl2mqkg2d53jhrcug67y3h4te6csq0zwmm7,7
1928,terra1ajz6ve5skhw7ww8ukphydq5ylmalvl2555ng4r,19
1929,terra1ak3m3ph63a6usmah5dle0edffekccy4rwa445s,3
1930,terra1akj6drjkl795t2g86xt6eq47d0lu8de0vdlynr,8
1931,terra1akrje3fvklf6uewkw9xtrhxr2a8q8mv0kxpduk,8
1932,terra1akthtur8fkyl225vdavs5pqka05aph0unpmvc4,9
1933,terra1akvcef25aqx3g30jh6u8tnf86kux7sjah7xjg0,27
1934,terra1akzkf64sxa7t4yp66m4mace38vhcl8m9hch6ul,5
